party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp,score
Independent,florida,3,NA,1,1,1,0,0.25,NA,0.51,NA,0.51,0.51,0.51,0.25,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.526363636363636
NA,NA,3,NA,1,1,1,1,0.5,0.25,0.51,0.85,0.51,1,0.51,0.75,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.702307692307692
NA,ohio,5,NA,0,0,0,0,0,0,0.17,0,0.34,0.85,0.51,0,0,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA,0.143846153846154
NA,NA,5,NA,1,1,0,0,0,0,0.51,0.51,0.51,0.51,0.51,0,0,2020,Other Religion,NA,NA,NA,NA,NA,0.35
Democrat,maryland,2,NA,0,1,0,0,0,0.25,0.85,1,0.68,0.85,0.51,0.25,0.25,2020,Jewish,Biden,NA,NA,NA,NA,0.433846153846154
Democrat,florida,3,NA,1,1,0,0,0.25,0,0.85,0.51,0.51,0.85,0.51,0,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.440769230769231
NA,texas,4,NA,1,1,0,0,0.5,0.5,0.51,0.51,0.51,0.85,0.51,0.25,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.491538461538462
NA,michigan,2,NA,1,0,1,0,0.5,0.75,0.85,0.85,1,0.51,0.51,0,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.555384615384615
Democrat,utah,4,NA,0,0,0,1,0.5,0.5,0.51,0.34,0.68,0.68,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.363076923076923
Republican,colorado,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,NA,0,1,1,1,0.5,0.5,1,0.85,0.85,0.51,0.68,0.5,0.5,2020,Mainline,NA,NA,NA,NA,NA,0.683846153846154
Democrat,new york,4,NA,0,0,0,0,0.5,0.75,0.85,0.85,0.85,0.51,0.51,0.25,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.409230769230769
NA,virginia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA,NA
Independent,new jersey,5,NA,1,1,1,1,0,0.75,0.51,1,1,1,0.85,0.25,0.75,2020,Other Christian,Trump,NA,NA,NA,NA,0.777692307692308
NA,NA,5,NA,0,1,0,0,0.5,0.25,0.51,0.51,0.85,0.51,0.51,0.25,0.5,2020,Not Religious,NA,NA,NA,NA,NA,0.414615384615385
NA,texas,5,NA,0,1,1,1,0,1,1,1,1,1,1,1,1,2020,Other Christian,Biden,NA,NA,NA,NA,0.846153846153846
NA,minnesota,3,NA,0,0,0,0,0,1,0.51,0.51,0.51,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.273076923076923
NA,alabama,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Black Protestant,NA,NA,NA,NA,NA,NA
Democrat,maryland,3,NA,1,1,1,1,0.25,0.5,0.51,0.51,0.34,0.51,0.51,0,0,2020,Other Christian,Biden,NA,NA,NA,NA,0.548461538461538
Republican,utah,2,NA,1,0,1,0,0,0.75,0.85,0.85,0.85,0.51,0.85,0.25,0.5,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.57
Democrat,new york,3,NA,1,1,1,1,0.5,0.75,0.68,0.51,0.51,0.51,0.51,0,0,2020,Not Religious,NA,NA,NA,NA,NA,0.613076923076923
Independent,kentucky,2,NA,0,0,0,0,0.25,1,0.51,0.51,0.51,0.85,0.68,0.25,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.37
Democrat,pennsylvania,2,NA,1,0,0,0,0.25,0.75,0.85,0.85,0.51,0.51,0.51,0,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.421538461538462
Independent,utah,3,NA,1,0,0,0,0.5,0.75,0.51,0.17,0.51,0.51,0.51,0,0.25,2020,Evangelical,Biden,NA,NA,NA,NA,0.362307692307692
Independent,new mexico,3,NA,0,0,0,0,0.25,0.5,0.51,0.85,0.51,1,0.85,0.5,0.5,2020,Not Religious,NA,NA,NA,NA,NA,0.420769230769231
NA,indiana,2,NA,1,1,1,0,0.75,1,0.34,0.17,0.85,0.51,0.51,0.25,0.25,2020,Jewish,Biden,NA,NA,NA,NA,0.586923076923077
NA,illinois,3,NA,1,1,0,0,0,0.5,0.51,0.85,0.85,0.85,0.51,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.505384615384615
Republican,arizona,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Religion,NA,NA,NA,NA,NA,NA
Democrat,massachusetts,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA,NA
NA,indiana,1,NA,1,1,1,0,0.75,0.75,0.51,0.85,1,0.51,0.51,0.75,0.5,2020,Other Christian,Trump,NA,NA,NA,NA,0.702307692307692
NA,michigan,4,NA,1,0,0,0,0.5,0.75,0.51,0.51,0.51,0.51,0.51,0,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.388461538461538
NA,ohio,3,NA,1,1,0,1,0.75,0.5,0.85,0.51,0.51,0.85,0.51,0.5,0.25,2020,Evangelical,NA,NA,NA,NA,NA,0.633076923076923
NA,illinois,3,NA,1,0,0,0,0.25,0.5,0.85,0.85,0.51,0.85,0.51,0.5,0.25,2020,Not Religious,NA,NA,NA,NA,NA,0.466923076923077
NA,NA,4,NA,1,1,1,0,0.5,0.5,0.51,0.85,0.85,0.51,0.34,0.5,0.5,2020,Other Religion,NA,NA,NA,NA,NA,0.62
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA,NA
Democrat,new york,3,NA,1,1,0,0,1,1,0.85,0.51,0.51,0.51,0.51,0.25,0,2020,Jewish,Biden,NA,NA,NA,NA,0.549230769230769
NA,illinois,4,NA,1,0,0,0,0.25,0.5,0.85,0.34,0.85,0.51,0.51,0,0,2020,Not Religious,NA,NA,NA,NA,NA,0.37
Independent,pennsylvania,3,NA,0,0,0,0,0,0.5,0.51,0.17,0.85,0.51,0.17,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.208461538461538
Independent,new york,4,NA,1,1,1,1,0.5,1,0.51,0.51,0.51,0.51,0.51,0.5,0.25,2020,Evangelical,Biden,NA,NA,NA,NA,0.676923076923077
NA,washington,2,NA,1,1,0,1,0.75,0.75,0.85,0.85,0.51,0.51,0.51,0.75,0.75,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.71
Republican,oklahoma,2,NA,1,1,1,0,0.25,0.75,0.51,0.51,0.68,0.85,0.51,0.25,0.25,2020,Other Christian,Trump,NA,NA,NA,NA,0.581538461538462
Democrat,pennsylvania,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA,NA
NA,indiana,3,NA,0,0,0,0,0.5,1,0.68,0.85,0.51,0.51,0.51,0.25,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.389230769230769
NA,wisconsin,3,NA,1,1,0,1,0.75,1,0.51,0.51,1,0.51,0.51,0,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.618461538461539
Republican,new york,2,NA,1,1,0,0,0.5,0.5,1,0.51,0.51,0.51,0.51,0.5,0.75,2020,Other Christian,Trump,NA,NA,NA,NA,0.560769230769231
NA,texas,3,NA,0,0,0,0,0.25,0.5,0.85,0.51,0.51,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.28
NA,texas,3,NA,1,1,0,0,0.25,1,0.51,0.51,0.51,0.85,0.85,0.25,0,2020,Other Christian,NA,NA,NA,NA,NA,0.517692307692308
NA,ohio,4,NA,1,0,0,0,0.25,0.5,0.34,0.51,0.51,0.85,0.51,0,0.25,2020,Other Christian,NA,NA,NA,NA,NA,0.363076923076923
Republican,florida,3,NA,1,NA,1,NA,0.5,1,0.85,0.85,0.85,1,0.85,0.25,0.5,2020,Mainline,Trump,NA,NA,NA,NA,0.786363636363636
Democrat,massachusetts,3,NA,1,0,1,0,0,0.75,0.51,0.51,0.51,0.51,0,0,0,2020,Other Religion,Biden,NA,NA,NA,NA,0.368461538461538
Democrat,california,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA,NA
Independent,kentucky,3,NA,0,0,0,0,1,1,0.17,0,1,0.51,0.68,0.75,0.75,2020,Not Religious,Biden,NA,NA,NA,NA,0.450769230769231
Democrat,north carolina,3,NA,0,0,0,0,0.5,0.5,0.17,0,0.17,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.181538461538462
Independent,florida,4,NA,1,0,0,0,0.25,0,1,1,0.85,0.51,0.51,0.5,0,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.432307692307692
NA,indiana,2,NA,1,1,0,0,0.5,1,NA,1,1,0.68,0.51,NA,0.75,2020,NA,Trump,NA,NA,NA,NA,0.676363636363636
Independent,new york,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA,NA
Democrat,florida,3,NA,1,0,1,0,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0,0,2020,Not Religious,Trump,NA,NA,NA,NA,0.426923076923077
Democrat,colorado,3,NA,0,0,0,0,0.25,0.75,0.51,0,0.85,0.68,0.51,0,0.25,2020,Jewish,Biden,NA,NA,NA,NA,0.292307692307692
NA,ohio,3,NA,1,1,0,0,0,1,0.51,1,0.85,0.68,0.51,0,0,2020,Other Christian,Trump,NA,NA,NA,NA,0.503846153846154
Republican,pennsylvania,3,NA,1,1,1,1,0.25,1,0.85,1,1,0.85,0.85,0.25,0,2020,Evangelical,Trump,NA,NA,NA,NA,0.773076923076923
Independent,new york,2,NA,0,0,0,0,0.5,0.5,0.68,0.51,0.51,0.68,0.51,0.25,0.5,2020,Not Religious,NA,NA,NA,NA,NA,0.356923076923077
NA,NA,4,NA,1,1,0,1,0.75,0.25,0.51,0.51,0.85,0.51,0.17,0.5,0.5,2020,Not Religious,NA,NA,NA,NA,NA,0.580769230769231
Democrat,california,3,NA,1,0,0,0,0,0.25,0.85,NA,0.85,0.51,0.17,0,0,2020,NA,Biden,NA,NA,NA,NA,0.3025
Republican,pennsylvania,3,NA,0,0,0,0,0.75,0.75,0.51,0.85,0.85,0.85,0.51,0.5,0.25,2020,Mainline,Trump,NA,NA,NA,NA,0.447692307692308
NA,michigan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA,NA
Independent,california,2,NA,0,0,0,0,0,0.5,0.51,0.85,0.51,0.51,0.51,0,0,2020,Not Religious,Hawkins,NA,NA,NA,NA,0.260769230769231
Democrat,massachusetts,3,NA,0,0,0,0,0.25,0.75,1,0.17,1,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.322307692307692
NA,NA,3,NA,1,1,1,0,0,0.75,0.85,0.68,0.51,0.85,0.85,0,0.25,2020,Evangelical,NA,NA,NA,NA,NA,0.595384615384615
Republican,pennsylvania,2,NA,1,0,1,0,0,1,0.51,1,1,0.51,1,1,0,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.616923076923077
Republican,florida,3,NA,1,1,1,0,0.75,0.5,0.51,0.85,0.85,0.85,0.85,0.25,0.5,2020,Evangelical,Trump,NA,NA,NA,NA,0.685384615384615
Republican,pennsylvania,3,NA,0,0,0,0,0.25,0.5,0.68,0.34,0.51,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.253846153846154
Republican,connecticut,3,NA,1,0,1,0,0,0.75,0.51,0.51,1,0.51,0.85,0.5,0,2020,Jewish,Trump,NA,NA,NA,NA,0.51
Democrat,new york,5,NA,0,1,1,1,0.5,1,1,0.51,0.51,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.58
NA,virginia,3,NA,0,0,0,0,0,0.25,0.68,0.85,0.85,0.85,0.17,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.280769230769231
Democrat,california,3,NA,1,1,1,1,0,1,0.85,1,1,0.51,0.51,0,0,2020,Black Protestant,Biden,NA,NA,NA,NA,0.682307692307692
NA,washington,2,NA,0,0,0,0,0.5,1,0.85,0.51,0.51,0.85,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.363846153846154
Democrat,kentucky,4,NA,1,0,1,1,0.25,0.75,0.85,0.51,0.51,0.51,0.51,0.25,0,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA,0.549230769230769
NA,georgia,3,NA,1,0,0,0,0,0.75,0.51,0.51,0.51,0.51,0.51,0,0.25,2020,Mainline,Trump,NA,NA,NA,NA,0.35
Independent,NA,4,NA,1,1,1,1,0.5,0.5,0.85,1,1,0.51,0.51,1,0.75,2020,Not Religious,Trump,NA,NA,NA,NA,0.816923076923077
NA,washington,2,NA,0,0,0,0,0,0,0.85,0.51,0.51,0.85,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.248461538461538
Democrat,nebraska,3,NA,0,0,0,0,0,0.5,0.51,1,0.85,1,0.51,0.25,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.355384615384615
Democrat,oregon,2,NA,0,0,0,0,0.25,0.5,0.85,0.51,0.85,0.51,0.51,0,0,2020,Jewish,Biden,NA,NA,NA,NA,0.306153846153846
Republican,nebraska,2,NA,1,1,1,0,0.25,0.5,0.51,0.51,0.51,0.85,NA,NA,NA,2020,Evangelical,Trump,NA,NA,NA,NA,0.613
Independent,louisiana,3,NA,0,0,0,0,0,0.5,0.17,0,0.34,0.51,0.51,0.25,0,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA,0.175384615384615
Republican,kansas,3,NA,1,0,1,0,0.25,0.5,0.51,0.51,0.51,0.51,0.51,0,0,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA,0.407692307692308
Democrat,maryland,5,NA,1,1,1,0,0.25,0.75,0.85,1,0.51,0.51,0.51,0,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.586923076923077
Independent,arizona,2,NA,0,0,0,0,0.5,0.75,1,0.51,0.68,1,0.85,0.75,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.483846153846154
NA,texas,2,NA,1,1,1,0,0.5,1,0.51,1,1,1,1,0.5,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.750769230769231
Republican,nebraska,3,NA,1,1,1,0,0.25,0.25,0.51,0.51,0.51,0.85,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.53
NA,indiana,3,NA,1,0,1,0,0.25,0.5,0.68,0.51,0.51,0.51,0.51,0.25,0.25,2020,Evangelical,NA,NA,NA,NA,NA,0.459230769230769
Republican,california,3,NA,0,0,0,0,0.5,0.75,0.85,0.85,0.85,0.51,0.51,0,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.39
Democrat,iowa,3,NA,0,1,0,0,0,0.75,0.51,1,0.85,0.51,0.51,0,0,2020,Mainline,Biden,NA,NA,NA,NA,0.394615384615385
NA,georgia,3,1,1,1,1,1,1,0,1,0.51,0.34,0.85,0.85,0.75,0.75,2020,Evangelical,NA,NA,NA,NA,NA,0.773076923076923
NA,ohio,2,NA,1,0,0,0,1,1,0.51,0.51,0.51,0.85,1,0.25,0,2020,Other Christian,Biden,NA,NA,NA,NA,0.51
Republican,north carolina,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA,NA
Democrat,arizona,3,NA,1,0,0,0,0.25,0,0.51,0.85,0.68,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.331538461538462
NA,texas,3,NA,1,1,0,1,0,0.5,0.51,0.85,0.85,0.85,0.51,0,0,2020,Mainline,Biden,NA,NA,NA,NA,0.543846153846154
NA,mississippi,3,NA,1,1,1,1,0.5,0.75,0.51,0.51,0.51,1,1,0.25,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.713846153846154
NA,NA,3,NA,1,0,1,0,0.75,0.5,1,1,0.68,1,1,0,0.25,2020,Not Religious,NA,NA,NA,NA,NA,0.629230769230769
Democrat,florida,2,NA,1,1,1,0,0,1,0.85,0.51,0.51,1,1,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.643846153846154
Democrat,florida,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Jewish,NA,NA,NA,NA,NA,NA
Republican,arizona,1,NA,1,1,1,0,0,0.75,0.51,0.51,0.51,1,0.51,0.5,0.25,2020,Other Christian,Trump,NA,NA,NA,NA,0.58
NA,indiana,3,NA,0,0,0,0,0.25,0.75,0.68,0.85,0.68,0.85,0.85,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.416153846153846
NA,wisconsin,3,NA,0,0,0,0,0.25,0.25,0.51,0.51,0.51,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.234615384615385
Democrat,pennsylvania,3,NA,1,1,0,0,0.5,1,0.85,0.85,0.85,0.85,0.85,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.634615384615385
NA,texas,3,NA,1,1,1,0,0.5,0.75,0.68,0.85,0.85,0.85,0.85,0.75,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.717692307692308
Democrat,north carolina,4,NA,1,0,0,0,0,0.5,0.85,0.85,0.85,0.51,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.428461538461538
NA,indiana,3,NA,0,0,0,0,0.25,0.75,0.51,0.68,0.68,0.51,0.51,0,0,2020,Mainline,Biden,NA,NA,NA,NA,0.299230769230769
Democrat,new york,4,NA,1,1,0,0,0.5,0.75,0.51,0.51,0.68,0.85,0.85,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.55
Independent,new york,3,NA,0,0,0,0,0,0.25,0.85,0.17,0.17,0.85,0,0.25,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.214615384615385
NA,texas,3,NA,1,1,0,0,0.5,0.25,0.51,0.85,0.85,0.68,0.51,0.25,0.5,2020,Other Christian,NA,NA,NA,NA,NA,0.530769230769231
NA,indiana,4,NA,0,0,0,0,0.5,0.75,0.85,0.85,0.85,1,0.51,0.25,0.25,2020,NA,Jorgensen,NA,NA,NA,NA,0.446923076923077
NA,texas,1,NA,0,0,0,0,0,0.5,0.51,0.51,0.85,0.51,0.51,0.25,0.25,2020,Mainline,NA,NA,NA,NA,NA,0.299230769230769
NA,michigan,2,NA,1,0,0,0,0.25,0.5,0.51,1,0.51,0.51,0.34,0.25,0.25,2020,Other Christian,Refused,NA,NA,NA,NA,0.393846153846154
NA,michigan,3,NA,0,1,0,0,0.5,0.75,0.51,0.51,0.51,0.51,0.51,0,0.25,2020,Not Religious,Trump,NA,NA,NA,NA,0.388461538461538
NA,wisconsin,3,NA,1,1,0,1,0.75,1,0.68,0.68,0.85,0.51,0.51,0.75,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.690769230769231
Democrat,pennsylvania,3,NA,1,1,1,1,0.5,1,NA,NA,NA,0.51,0.51,NA,NA,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA,0.815
Independent,massachusetts,1,NA,1,1,1,1,0.75,1,0.51,0.85,0.85,0.85,0.17,0.75,0.75,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.806153846153846
NA,NA,2,NA,1,1,1,1,0.25,1,0.51,0.51,0.51,0.85,1,0.75,0.75,2020,Roman Catholic,NA,NA,NA,NA,NA,0.779230769230769
Independent,new jersey,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA,NA
NA,illinois,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA,NA
NA,ohio,3,NA,1,1,1,0,1,0,1,1,1,1,0.51,0.75,0.5,2020,Mainline,Biden,NA,NA,NA,NA,0.750769230769231
Republican,kentucky,3,NA,1,1,1,0,1,0.5,0.51,0.51,0.51,0.51,0.51,1,1,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.696153846153846
NA,texas,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,NA
Independent,maine,3,NA,0,0,0,0,0.5,0.5,0.51,0.17,0.51,1,0.51,0.25,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.303846153846154
Democrat,maryland,4,NA,0,0,0,0,0.25,1,0.51,0.51,0.85,0.51,0.51,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.356923076923077
NA,virginia,3,NA,0,0,0,0,0.5,0.75,0.51,0.85,0.51,0.85,0.85,0,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.39
Republican,arizona,3,NA,1,1,0,0,0.5,1,0.85,0.68,0.68,1,1,0.5,0.5,2020,Other Christian,Trump,NA,NA,NA,NA,0.67
NA,michigan,3,NA,1,0,0,0,0,0.5,0.51,0.51,0.51,1,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.349230769230769
NA,texas,3,NA,1,1,0,1,0,1,0.51,0.85,0.51,0.51,0.51,0.5,0.25,2020,Other Christian,NA,NA,NA,NA,NA,0.587692307692308
Independent,colorado,1,NA,0,1,0,1,0,0.75,0.51,0.51,0.85,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.433846153846154
Democrat,massachusetts,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA,NA
Independent,new york,4,NA,0,1,0,0,0.25,0.25,0.51,0.85,1,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.375384615384615
Democrat,pennsylvania,3,NA,0,0,0,0,0.25,0.75,0.51,0.51,0.51,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.273076923076923
Democrat,new jersey,4,NA,0,0,0,0,0,0.5,0.51,0.51,0.51,0.85,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.299230769230769
NA,NA,1,NA,0,0,0,0,0,0,0.51,0.85,1,0.51,0.51,0.75,0.75,2020,Not Religious,NA,NA,NA,NA,NA,0.375384615384615
NA,tennessee,3,NA,1,1,0,0,0.25,0.75,1,1,0.85,0.51,0.51,0.75,0.75,2020,Evangelical,Trump,NA,NA,NA,NA,0.643846153846154
Republican,new york,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA,NA
Independent,alaska,3,NA,1,1,0,1,0,0.75,0.51,1,1,0.85,0.51,0.75,0.25,2020,Not Religious,Trump,NA,NA,NA,NA,0.663076923076923
Democrat,NA,3,NA,1,1,1,1,0,0.75,NA,NA,NA,0.85,0.51,NA,0.25,2020,NA,Biden,NA,NA,NA,NA,0.706666666666667
Independent,florida,4,1,1,1,0,1,0.75,0.75,0.34,0.51,0.51,0.85,0.51,0.25,0,2020,Jewish,NA,NA,NA,NA,NA,0.574615384615385
Democrat,pennsylvania,4,NA,1,1,0,0,0,1,0.51,0.51,0.68,0.51,0.51,0.25,0,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA,0.459230769230769
NA,wisconsin,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA,NA
Democrat,NA,2,NA,1,1,0,0,0.25,0.75,0.85,1,0.85,0.85,0.51,0.25,0.25,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA,0.581538461538462
NA,ohio,3,NA,1,1,0,1,0.5,1,1,1,0.68,1,0.85,1,1,2020,Not Religious,Trump,NA,NA,NA,NA,0.848461538461538
Democrat,maryland,3,NA,1,1,0,0,0.25,0.25,0.51,0.51,0.51,0.85,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.414615384615385
Democrat,north carolina,1,NA,1,1,1,1,0.5,1,0.51,0.34,0.51,0.85,0.17,0,0,2020,Evangelical,Biden,NA,NA,NA,NA,0.606153846153846
Independent,florida,3,NA,1,1,1,0,0,0.5,0,0.51,0.51,0,0.51,0,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.406153846153846
NA,virginia,3,2,1,1,0,0,0.5,0.75,0.51,0.51,0.51,0.85,0.51,0,0,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA,0.472307692307692
NA,ohio,3,NA,0,0,0,0,0.5,0.75,0.51,0.68,0.68,0.51,0.51,0.25,0.5,2020,Mainline,NA,NA,NA,NA,NA,0.376153846153846
NA,texas,3,NA,1,1,1,1,0.5,0.5,0.51,0.85,0.85,0.51,0.51,0.25,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.671538461538462
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA,NA
NA,georgia,3,2,1,1,1,0,0,1,0.17,0.51,0.68,0.85,0.17,0,0.5,2020,Other Christian,NA,NA,NA,NA,NA,0.529230769230769
NA,missouri,2,NA,1,1,1,1,1,1,1,0.85,0.85,0.51,0.85,0.75,0.75,2020,Not Religious,Trump,NA,NA,NA,NA,0.889230769230769
Republican,kentucky,2,NA,1,0,1,0,0,0.75,0.51,1,1,0.68,1,0,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.553076923076923
NA,ohio,3,NA,1,1,0,0,0.5,1,0.51,0.51,0.51,0.51,0.51,0.5,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.523076923076923
NA,ohio,2,NA,0,0,0,0,0.5,1,0,0.17,0.51,1,0.17,0,0,2020,Not Religious,Trump,NA,NA,NA,NA,0.257692307692308
Republican,louisiana,3,NA,1,1,1,1,0.25,1,0.85,0.85,0.51,0.51,1,0.5,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.747692307692308
NA,NA,3,NA,0,1,0,0,0.5,0.5,0.85,0.51,0.51,0.51,0.51,0.25,0.5,2020,Not Religious,NA,NA,NA,NA,NA,0.433846153846154
NA,texas,3,NA,1,0,1,0,0.5,1,0.51,1,0.85,0.85,1,0,0,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.593076923076923
Republican,new mexico,3,NA,1,1,1,1,1,1,1,1,1,1,1,0,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.865384615384615
Democrat,colorado,3,NA,0,0,0,0,0.5,1,0.51,0.51,0.51,0.51,1,0.25,0.25,2020,Other Christian,NA,NA,NA,NA,NA,0.387692307692308
NA,wisconsin,2,NA,1,0,1,0,0.75,0.75,0.85,0.85,0.85,1,1,0.75,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.696153846153846
Republican,utah,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA,NA
